Series_Title,Gross,Role,Actor
The Shawshank Redemption,28341469.0,Star1,Tim Robbins
The Godfather,134966411.0,Star1,Marlon Brando
The Dark Knight,534858444.0,Star1,Christian Bale
The Godfather: Part II,57300000.0,Star1,Al Pacino
12 Angry Men,4360000.0,Star1,Henry Fonda
The Lord of the Rings: The Return of the King,377845905.0,Star1,Elijah Wood
Pulp Fiction,107928762.0,Star1,John Travolta
Schindler's List,96898818.0,Star1,Liam Neeson
Inception,292576195.0,Star1,Leonardo DiCaprio
Fight Club,37030102.0,Star1,Brad Pitt
The Lord of the Rings: The Fellowship of the Ring,315544750.0,Star1,Elijah Wood
Forrest Gump,330252182.0,Star1,Tom Hanks
"Il buono, il brutto, il cattivo",6100000.0,Star1,Clint Eastwood
The Lord of the Rings: The Two Towers,342551365.0,Star1,Elijah Wood
The Matrix,171479930.0,Star1,Lilly Wachowski
Goodfellas,46836394.0,Star1,Robert De Niro
Star Wars: Episode V - The Empire Strikes Back,290475067.0,Star1,Mark Hamill
One Flew Over the Cuckoo's Nest,112000000.0,Star1,Jack Nicholson
Hamilton,,Star1,Lin-Manuel Miranda
Gisaengchung,53367844.0,Star1,Kang-ho Song
Soorarai Pottru,,Star1,Suriya
Interstellar,188020017.0,Star1,Matthew McConaughey
Cidade de Deus,7563397.0,Star1,Kátia Lund
Sen to Chihiro no kamikakushi,10055859.0,Star1,Daveigh Chase
Saving Private Ryan,216540909.0,Star1,Tom Hanks
The Green Mile,136801374.0,Star1,Tom Hanks
La vita è bella,57598247.0,Star1,Roberto Benigni
Se7en,100125643.0,Star1,Morgan Freeman
The Silence of the Lambs,130742922.0,Star1,Jodie Foster
Star Wars,322740140.0,Star1,Mark Hamill
Seppuku,,Star1,Tatsuya Nakadai
Shichinin no samurai,269061.0,Star1,Toshirô Mifune
It's a Wonderful Life,,Star1,James Stewart
Joker,335451311.0,Star1,Joaquin Phoenix
Whiplash,13092000.0,Star1,Miles Teller
The Intouchables,13182281.0,Star1,Éric Toledano
The Prestige,53089891.0,Star1,Christian Bale
The Departed,132384315.0,Star1,Leonardo DiCaprio
The Pianist,32572577.0,Star1,Adrien Brody
Gladiator,187705427.0,Star1,Russell Crowe
American History X,6719864.0,Star1,Edward Norton
The Usual Suspects,23341568.0,Star1,Kevin Spacey
Léon,19501238.0,Star1,Jean Reno
The Lion King,422783777.0,Star1,Rob Minkoff
Terminator 2: Judgment Day,204843350.0,Star1,Arnold Schwarzenegger
Nuovo Cinema Paradiso,11990401.0,Star1,Philippe Noiret
Hotaru no haka,,Star1,Tsutomu Tatsumi
Back to the Future,210609762.0,Star1,Michael J. Fox
Once Upon a Time in the West,5321508.0,Star1,Henry Fonda
Psycho,32000000.0,Star1,Anthony Perkins
Casablanca,1024560.0,Star1,Humphrey Bogart
Modern Times,163245.0,Star1,Charles Chaplin
City Lights,19181.0,Star1,Charles Chaplin
Capharnaüm,1661096.0,Star1,Zain Al Rafeea
Ayla: The Daughter of War,,Star1,Erdem Can
Vikram Vedha,,Star1,Pushkar
Kimi no na wa.,5017246.0,Star1,Ryûnosuke Kamiki
Dangal,12391761.0,Star1,Aamir Khan
Spider-Man: Into the Spider-Verse,190241310.0,Star1,Peter Ramsey
Avengers: Endgame,858373000.0,Star1,Chris Hemsworth
Avengers: Infinity War,678815482.0,Star1,Chris Evans
Coco,209726015.0,Star1,Adrian Molina
Django Unchained,162805434.0,Star1,Jamie Foxx
The Dark Knight Rises,448139099.0,Star1,Christian Bale
3 Idiots,6532908.0,Star1,Aamir Khan
Taare Zameen Par,1223869.0,Star1,Amole Gupte
WALL·E,223808164.0,Star1,Ben Burtt
The Lives of Others,11286112.0,Star1,Ulrich Mühe
Oldeuboi,707481.0,Star1,Choi Min-sik
Memento,25544867.0,Star1,Guy Pearce
Mononoke-hime,2375308.0,Star1,Yôji Matsuda
Once Upon a Time in America,5321508.0,Star1,Robert De Niro
Raiders of the Lost Ark,248159971.0,Star1,Harrison Ford
The Shining,44017374.0,Star1,Jack Nicholson
Apocalypse Now,83471511.0,Star1,Martin Sheen
Alien,78900000.0,Star1,Sigourney Weaver
Anand,,Star1,Rajesh Khanna
Tengoku to jigoku,,Star1,Toshirô Mifune
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,275902.0,Star1,Peter Sellers
Witness for the Prosecution,8175000.0,Star1,Tyrone Power
Paths of Glory,,Star1,Kirk Douglas
Rear Window,36764313.0,Star1,James Stewart
Sunset Blvd.,,Star1,William Holden
The Great Dictator,288475.0,Star1,Charles Chaplin
1917,159227644.0,Star1,Dean-Charles Chapman
Tumbbad,,Star1,Anand Gandhi
Andhadhun,1373943.0,Star1,Ayushmann Khurrana
Drishyam,,Star1,Mohanlal
Jagten,687185.0,Star1,Mads Mikkelsen
Jodaeiye Nader az Simin,7098492.0,Star1,Payman Maadi
Incendies,6857096.0,Star1,Lubna Azabal
Miracle in cell NO.7,,Star1,Aras Bulut Iynemli
Babam ve Oglum,,Star1,Çetin Tekindor
Inglourious Basterds,120540719.0,Star1,Brad Pitt
Eternal Sunshine of the Spotless Mind,34400301.0,Star1,Jim Carrey
Amélie,33225499.0,Star1,Audrey Tautou
Snatch,30328156.0,Star1,Jason Statham
Requiem for a Dream,3635482.0,Star1,Ellen Burstyn
American Beauty,130096601.0,Star1,Kevin Spacey
Good Will Hunting,138433435.0,Star1,Robin Williams
Bacheha-Ye aseman,933933.0,Star1,Mohammad Amir Naji
Toy Story,191796233.0,Star1,Tom Hanks
Braveheart,75600000.0,Star1,Mel Gibson
Reservoir Dogs,2832029.0,Star1,Harvey Keitel
Full Metal Jacket,46357676.0,Star1,Matthew Modine
Idi i smotri,,Star1,Aleksey Kravchenko
Aliens,85160248.0,Star1,Sigourney Weaver
Amadeus,51973029.0,Star1,F. Murray Abraham
Scarface,45598982.0,Star1,Al Pacino
Star Wars: Episode VI - Return of the Jedi,309125409.0,Star1,Mark Hamill
Das Boot,11487676.0,Star1,Jürgen Prochnow
Taxi Driver,28262574.0,Star1,Robert De Niro
The Sting,159600000.0,Star1,Paul Newman
A Clockwork Orange,6207725.0,Star1,Malcolm McDowell
2001: A Space Odyssey,56954992.0,Star1,Keir Dullea
Per qualche dollaro in più,15000000.0,Star1,Clint Eastwood
Lawrence of Arabia,44824144.0,Star1,Peter O'Toole
The Apartment,18600000.0,Star1,Jack Lemmon
North by Northwest,13275000.0,Star1,Cary Grant
Vertigo,3200000.0,Star1,James Stewart
Singin' in the Rain,8819028.0,Star1,Gene Kelly
Ikiru,55240.0,Star1,Takashi Shimura
Ladri di biciclette,332930.0,Star1,Lamberto Maggiorani
Double Indemnity,5720000.0,Star1,Fred MacMurray
Citizen Kane,1585634.0,Star1,Orson Welles
M - Eine Stadt sucht einen Mörder,28877.0,Star1,Peter Lorre
Metropolis,1236166.0,Star1,Brigitte Helm
The Kid,5450000.0,Star1,Charles Chaplin
Chhichhore,898575.0,Star1,Sushant Singh Rajput
Uri: The Surgical Strike,4186168.0,Star1,Vicky Kaushal
K.G.F: Chapter 1,,Star1,Yash
Green Book,85080171.0,Star1,Viggo Mortensen
"Three Billboards Outside Ebbing, Missouri",54513740.0,Star1,Frances McDormand
Talvar,342370.0,Star1,Irrfan Khan
Baahubali 2: The Conclusion,20186659.0,Star1,Prabhas
Klaus,,Star1,Carlos Martínez López
Drishyam,739478.0,Star1,Ajay Devgn
Queen,1429534.0,Star1,Kangana Ranaut
Mandariinid,144501.0,Star1,Lembit Ulfsak
Bhaag Milkha Bhaag,1626289.0,Star1,Farhan Akhtar
Gangs of Wasseypur,,Star1,Manoj Bajpayee
Udaan,7461.0,Star1,Rajat Barmecha
Paan Singh Tomar,39567.0,Star1,Irrfan Khan
El secreto de sus ojos,6391436.0,Star1,Ricardo Darín
Warrior,13657115.0,Star1,Tom Hardy
Shutter Island,128012934.0,Star1,Leonardo DiCaprio
Up,293004164.0,Star1,Bob Peterson
The Wolf of Wall Street,116900694.0,Star1,Leonardo DiCaprio
Chak De! India,1113541.0,Star1,Shah Rukh Khan
There Will Be Blood,40222514.0,Star1,Daniel Day-Lewis
Pan's Labyrinth,37634615.0,Star1,Ivana Baquero
Toy Story 3,415004880.0,Star1,Tom Hanks
V for Vendetta,70511035.0,Star1,Hugo Weaving
Rang De Basanti,2197331.0,Star1,Aamir Khan
Black,733094.0,Star1,Amitabh Bachchan
Batman Begins,206852432.0,Star1,Christian Bale
"Swades: We, the People",1223240.0,Star1,Shah Rukh Khan
Der Untergang,5509040.0,Star1,Bruno Ganz
Hauru no ugoku shiro,4711096.0,Star1,Chieko Baishô
A Beautiful Mind,170742341.0,Star1,Russell Crowe
Hera Pheri,,Star1,Akshay Kumar
"Lock, Stock and Two Smoking Barrels",3897569.0,Star1,Jason Flemyng
L.A. Confidential,64616940.0,Star1,Kevin Spacey
Eskiya,,Star1,Sener Sen
Heat,67436818.0,Star1,Al Pacino
Casino,42438300.0,Star1,Robert De Niro
Andaz Apna Apna,,Star1,Aamir Khan
Unforgiven,101157447.0,Star1,Clint Eastwood
Ind Jones Last Crusade,197171806.0,Star1,Harrison Ford
Dom za vesanje,280015.0,Star1,Davor Dujmovic
Tonari no Totoro,1105564.0,Star1,Hitoshi Takagi
Die Hard,83008852.0,Star1,Bruce Willis
Ran,4135750.0,Star1,Tatsuya Nakadai
Raging Bull,23383987.0,Star1,Robert De Niro
Stalker,234723.0,Star1,Alisa Freyndlikh
Höstsonaten,,Star1,Ingrid Bergman
The Message,,Star1,Anthony Quinn
Sholay,,Star1,Sanjeev Kumar
Monty Python and the Holy Grail,1229197.0,Star1,Terry Jones
The Great Escape,12100000.0,Star1,Steve McQueen
To Kill a Mockingbird,,Star1,Gregory Peck
Yôjinbô,,Star1,Toshirô Mifune
Judgment at Nuremberg,,Star1,Spencer Tracy
Some Like It Hot,25000000.0,Star1,Marilyn Monroe
Smultronstället,,Star1,Victor Sjöström
Det sjunde inseglet,,Star1,Max von Sydow
Du rififi chez les hommes,57226.0,Star1,Jean Servais
Dial M for Murder,12562.0,Star1,Ray Milland
Tôkyô monogatari,,Star1,Chishû Ryû
Rashômon,96568.0,Star1,Toshirô Mifune
All About Eve,10177.0,Star1,Bette Davis
The Treasure of the Sierra Madre,5014000.0,Star1,Humphrey Bogart
To Be or Not to Be,,Star1,Carole Lombard
The Gold Rush,5450000.0,Star1,Charles Chaplin
Sherlock Jr.,977375.0,Star1,Buster Keaton
Portrait de la jeune fille en feu,3759854.0,Star1,Noémie Merlant
Pink,1241223.0,Star1,Taapsee Pannu
Koe no katachi,,Star1,Miyu Irino
Contratiempo,,Star1,Mario Casas
Ah-ga-ssi,2006788.0,Star1,Kim Min-hee
Mommy,3492754.0,Star1,Anne Dorval
Haider,901610.0,Star1,Shahid Kapoor
Logan,226277068.0,Star1,Hugh Jackman
Room,14677674.0,Star1,Brie Larson
Relatos salvajes,3107072.0,Star1,Darío Grandinetti
Soul,,Star1,Kemp Powers
Kis Uykusu,165520.0,Star1,Haluk Bilginer
PK,10616104.0,Star1,Aamir Khan
OMG: Oh My God!,923221.0,Star1,Paresh Rawal
The Grand Budapest Hotel,59100318.0,Star1,Ralph Fiennes
Gone Girl,167767189.0,Star1,Ben Affleck
Ôkami kodomo no Ame to Yuki,,Star1,Aoi Miyazaki
Hacksaw Ridge,67209615.0,Star1,Andrew Garfield
Inside Out,356461711.0,Star1,Ronnie Del Carmen
Barfi!,2804874.0,Star1,Ranbir Kapoor
12 Years a Slave,56671993.0,Star1,Chiwetel Ejiofor
Rush,26947624.0,Star1,Daniel Brühl
Ford v Ferrari,117624028.0,Star1,Matt Damon
Spotlight,45055776.0,Star1,Mark Ruffalo
Song of the Sea,857524.0,Star1,David Rawle
Kahaani,1035953.0,Star1,Vidya Balan
Zindagi Na Milegi Dobara,3108485.0,Star1,Hrithik Roshan
Prisoners,61002302.0,Star1,Hugh Jackman
Mad Max: Fury Road,154058340.0,Star1,Tom Hardy
A Wednesday,,Star1,Anupam Kher
Gran Torino,148095302.0,Star1,Clint Eastwood
Harry Potter and the Deathly Hallows: Part 2,381011219.0,Star1,Daniel Radcliffe
Okuribito,1498210.0,Star1,Masahiro Motoki
Hachi: A Dog's Tale,,Star1,Richard Gere
Mary and Max,,Star1,Toni Collette
How to Train Your Dragon,217581231.0,Star1,Chris Sanders
Into the Wild,18354356.0,Star1,Emile Hirsch
No Country for Old Men,74283625.0,Star1,Joel Coen
Lage Raho Munna Bhai,2217561.0,Star1,Sanjay Dutt
Million Dollar Baby,100492203.0,Star1,Hilary Swank
Hotel Rwanda,23530892.0,Star1,Don Cheadle
Taegukgi hwinalrimyeo,1111061.0,Star1,Jang Dong-Gun
Before Sunset,5820649.0,Star1,Ethan Hawke
Munna Bhai M.B.B.S.,,Star1,Sanjay Dutt
Salinui chueok,14131.0,Star1,Kang-ho Song
Dil Chahta Hai,300000.0,Star1,Aamir Khan
Kill Bill: Vol. 1,70099045.0,Star1,Uma Thurman
Finding Nemo,380843261.0,Star1,Lee Unkrich
Catch Me If You Can,164615351.0,Star1,Leonardo DiCaprio
